"Feature","Gain","Cover","Frequence"
"cond075",0.0882170741164913,0.0433489202922912,0.0176056338028169
"cond086",0.085803125221048,0.0713603080446937,0.0230046948356808
"cond098",0.0750874416689538,0.0657219268985589,0.023943661971831
"cond067",0.0642999739161521,0.0359379651618821,0.0194835680751174
"cond068",0.060489162870737,0.0330634659539761,0.0206572769953052
"cond018",0.0558356717893679,0.0538247684462771,0.0267605633802817
"cond006",0.0553611098744838,0.0493037045280299,0.0356807511737089
"cond077",0.0465379383225282,0.0254991337671225,0.0248826291079812
"cond069",0.0400757432331644,0.0245790746167203,0.0237089201877934
"cond085",0.0377440240738548,0.0507494312006518,0.0136150234741784
"cond097",0.0304392421599221,0.0550111561219723,0.0119718309859155
"cond005",0.0304263206529397,0.0324969070399945,0.0546948356807512
"cond004",0.0251736523768663,0.0257459870424294,0.036150234741784
"cond066",0.0157778436774952,0.0158912965112743,0.0115023474178404
"cond017",0.0155114587106531,0.0275655012147553,0.0312206572769953
"cond081",0.0150456150095071,0.0121350756359156,0.0143192488262911
"cond073",0.0142329250828682,0.0137697264615142,0.0199530516431925
"cond013",0.0141544858030706,0.0196777034199718,0.0215962441314554
"cond079",0.0135494142051885,0.00971489799112297,0.00868544600938967
"cond074",0.0134096604267311,0.0110959540802747,0.0157276995305164
"cond084",0.0125997450993172,0.0123532216643227,0.0129107981220657
"cond087",0.0118697212251392,0.0229549861286787,0.0145539906103286
"cond071",0.0109476624081111,0.002996857997523,0.00492957746478873
"cond094",0.00896617348852358,0.0127775719719842,0.0117370892018779
"cond014",0.00886129724181361,0.00966828403859893,0.0112676056338028
"cond099",0.00847935997457104,0.0233307569332566,0.0157276995305164
"cond082",0.00829891621008792,0.0118068060064076,0.0124413145539906
"cond096",0.00785516185099394,0.0113164944752523,0.00915492957746479
"cond088",0.00749134265885114,0.0170532406879967,0.015962441314554
"cond019",0.00705962339185689,0.00985271807613991,0.0178403755868545
"cond016",0.00634318041455906,0.00611962638731125,0.018075117370892
"cond080",0.0060606928039577,0.0138819270708152,0.0105633802816901
"cond070",0.00531339911073431,0.00840099956898714,0.0107981220657277
"cond100",0.00498702926755642,0.0154462491115713,0.0112676056338028
"cond076",0.00435606553981888,0.00683171248488438,0.00610328638497653
"cond095",0.00428161172915877,0.0114046628938645,0.00985915492957747
"cond072",0.00411084171441564,0.0105230943573736,0.00892018779342723
"cond020",0.00379924212477397,0.00647909700513273,0.0143192488262911
"cond083",0.00378988952767388,0.00792800934425547,0.00985915492957747
"cond091",0.00333469366673755,0.00416112034521635,0.00892018779342723
"cond008",0.00299833896197201,0.0051688924667482,0.0140845070422535
"cond003",0.00299477850849835,0.00558523779789314,0.0119718309859155
"cond021",0.00292188920979813,0.0046373075794831,0.0119718309859155
"cond015",0.00282428656261551,0.00326316901508939,0.00985915492957747
"cond103",0.00257420992306182,0.00413262590350199,0.00586854460093897
"cond093",0.00252196176347858,0.00483072579329876,0.00727699530516432
"cond101",0.0024940783689043,0.00630797599094614,0.00727699530516432
"cond010",0.00232484843225403,0.00275331762797036,0.0119718309859155
"cond105",0.0021620695900819,0.00312047586393806,0.00563380281690141
"cond007",0.0021383120830247,0.00265688704187008,0.010093896713615
"cond104",0.00209768509056238,0.00371791076364409,0.00610328638497653
"cond078",0.00205930435312828,0.00328051473369536,0.00633802816901408
"cond092",0.00199552821872012,0.00257000704399219,0.00633802816901408
"cond065",0.00174247263263934,0.00240657438771493,0.0115023474178404
"cond057",0.00168843240162045,0.00202198560697233,0.0103286384976526
"cond089",0.0016098111658693,0.00294920467784196,0.00516431924882629
"cond023",0.00146514215236681,0.00206261117719329,0.00774647887323944
"cond051",0.00144472082260839,0.00205527001476606,0.00962441314553991
"cond090",0.00140528175513023,0.00236851875450706,0.00610328638497653
"cond011",0.00133968348417658,0.00188268155717467,0.007981220657277
"cond048",0.00133604940458951,0.00201599451220454,0.00774647887323944
"cond001",0.00131261843325853,0.00195353927263438,0.00610328638497653
"cond022",0.00130963297739656,0.00210101351270786,0.00774647887323944
"cond002",0.00127125846296296,0.00158834831334009,0.0068075117370892
"cond050",0.00123263245149949,0.00169921685588378,0.00915492957746479
"cond062",0.00121090327991883,0.00172108795196664,0.00751173708920188
"cond054",0.00114197345119439,0.00136010377884039,0.00774647887323944
"cond055",0.00112397735454023,0.00135239322803803,0.00821596244131455
"cond063",0.00111597033813358,0.00218264316526981,0.00704225352112676
"cond009",0.00107885544681272,0.00142770086513832,0.00610328638497653
"cond012",0.000987507774147337,0.00113996334911281,0.0068075117370892
"cond052",0.0009757535569848,0.00131525243519847,0.00704225352112676
"cond058",0.000938417405544534,0.00175018184838056,0.00774647887323944
"cond056",0.000912646452398508,0.00102095617951895,0.00586854460093897
"cond064",0.000864055088263104,0.00119957592567329,0.00586854460093897
"cond102",0.000835225740344199,0.000939896884307913,0.00328638497652582
"cond061",0.000826008083092626,0.00110555548775627,0.00610328638497653
"cond049",0.000771065421554766,0.0011954677745854,0.00586854460093897
"cond059",0.000764085123876679,0.00106556586721452,0.00492957746478873
"cond060",0.000700888549341314,0.00138067387821619,0.00516431924882629
"cond053",0.000510107082959342,0.000932634136769398,0.00352112676056338
