[80]	train-mlogloss:0.165308+0.001391	test-mlogloss:0.204933+0.005826
[81]	train-mlogloss:0.164814+0.001378	test-mlogloss:0.204985+0.005789
[82]	train-mlogloss:0.164327+0.001417	test-mlogloss:0.204896+0.005784
[83]	train-mlogloss:0.163866+0.001402	test-mlogloss:0.204799+0.005703
[84]	train-mlogloss:0.163442+0.001370	test-mlogloss:0.204813+0.005678
[85]	train-mlogloss:0.163020+0.001347	test-mlogloss:0.204820+0.005643
[86]	train-mlogloss:0.162571+0.001324	test-mlogloss:0.204793+0.005683
[87]	train-mlogloss:0.162158+0.001297	test-mlogloss:0.204846+0.005665
[88]	train-mlogloss:0.161710+0.001307	test-mlogloss:0.204789+0.005594
[89]	train-mlogloss:0.161264+0.001293	test-mlogloss:0.204689+0.005544
[90]	train-mlogloss:0.160849+0.001307	test-mlogloss:0.204676+0.005563
[91]	train-mlogloss:0.160419+0.001311	test-mlogloss:0.204728+0.005548
[92]	train-mlogloss:0.159990+0.001319	test-mlogloss:0.204678+0.005589
[93]	train-mlogloss:0.159542+0.001342	test-mlogloss:0.204649+0.005683
[94]	train-mlogloss:0.159120+0.001332	test-mlogloss:0.204539+0.005652
[95]	train-mlogloss:0.158688+0.001336	test-mlogloss:0.204504+0.005633
[96]	train-mlogloss:0.158256+0.001339	test-mlogloss:0.204471+0.005603
[97]	train-mlogloss:0.157829+0.001342	test-mlogloss:0.204426+0.005628
[98]	train-mlogloss:0.157435+0.001326	test-mlogloss:0.204415+0.005664
[99]	train-mlogloss:0.156988+0.001331	test-mlogloss:0.204433+0.005702
[100]	train-mlogloss:0.156571+0.001318	test-mlogloss:0.204361+0.005695
[101]	train-mlogloss:0.156142+0.001312	test-mlogloss:0.204468+0.005637
[102]	train-mlogloss:0.155759+0.001314	test-mlogloss:0.204487+0.005635
[103]	train-mlogloss:0.155359+0.001284	test-mlogloss:0.204425+0.005641
[104]	train-mlogloss:0.154983+0.001309	test-mlogloss:0.204390+0.005704
[105]	train-mlogloss:0.154597+0.001320	test-mlogloss:0.204380+0.005634
[106]	train-mlogloss:0.154197+0.001310	test-mlogloss:0.204393+0.005673
[107]	train-mlogloss:0.153805+0.001282	test-mlogloss:0.204397+0.005675
[108]	train-mlogloss:0.153409+0.001292	test-mlogloss:0.204482+0.005653
[109]	train-mlogloss:0.153020+0.001301	test-mlogloss:0.204533+0.005655
[110]	train-mlogloss:0.152630+0.001284	test-mlogloss:0.204560+0.005576
[111]	train-mlogloss:0.152265+0.001279	test-mlogloss:0.204538+0.005559
[112]	train-mlogloss:0.151882+0.001271	test-mlogloss:0.204517+0.005609
[113]	train-mlogloss:0.151474+0.001297	test-mlogloss:0.204504+0.005494
[114]	train-mlogloss:0.151110+0.001303	test-mlogloss:0.204450+0.005519
[115]	train-mlogloss:0.150750+0.001294	test-mlogloss:0.204501+0.005454
[116]	train-mlogloss:0.150384+0.001310	test-mlogloss:0.204515+0.005483
[117]	train-mlogloss:0.150040+0.001298	test-mlogloss:0.204539+0.005428
[118]	train-mlogloss:0.149666+0.001311	test-mlogloss:0.204532+0.005391
[119]	train-mlogloss:0.149282+0.001329	test-mlogloss:0.204559+0.005415
[120]	train-mlogloss:0.148918+0.001317	test-mlogloss:0.204569+0.005434
[121]	train-mlogloss:0.148559+0.001305	test-mlogloss:0.204549+0.005424
[122]	train-mlogloss:0.148232+0.001292	test-mlogloss:0.204599+0.005383
[123]	train-mlogloss:0.147912+0.001261	test-mlogloss:0.204612+0.005364
[124]	train-mlogloss:0.147553+0.001246	test-mlogloss:0.204633+0.005372
[125]	train-mlogloss:0.147213+0.001273	test-mlogloss:0.204662+0.005305
[126]	train-mlogloss:0.146824+0.001264	test-mlogloss:0.204612+0.005233
[127]	train-mlogloss:0.146492+0.001284	test-mlogloss:0.204668+0.005167
[128]	train-mlogloss:0.146148+0.001284	test-mlogloss:0.204624+0.005178
[129]	train-mlogloss:0.145826+0.001233	test-mlogloss:0.204640+0.005258
[130]	train-mlogloss:0.145499+0.001255	test-mlogloss:0.204595+0.005276
[131]	train-mlogloss:0.145189+0.001244	test-mlogloss:0.204631+0.005256
[132]	train-mlogloss:0.144864+0.001266	test-mlogloss:0.204714+0.005257
[133]	train-mlogloss:0.144553+0.001266	test-mlogloss:0.204805+0.005283
[134]	train-mlogloss:0.144238+0.001282	test-mlogloss:0.204872+0.005324
[135]	train-mlogloss:0.143911+0.001267	test-mlogloss:0.204932+0.005297
[136]	train-mlogloss:0.143588+0.001266	test-mlogloss:0.204969+0.005249
