"Feature","Gain","Cover","Frequence"
"cond086",0.0826843627713023,0.0769252257001212,0.0283169673441425
"cond098",0.0682755598070977,0.0615722402456765,0.0223795387074675
"cond075",0.0653045179856109,0.0350682148087016,0.0187257364695136
"cond006",0.0623720109195409,0.0514737475958455,0.0367663850194108
"cond068",0.0572003668922763,0.0308603450213118,0.0210093628682348
"cond067",0.0570532136531678,0.0361674434123496,0.0157570221511761
"cond018",0.0515043868484804,0.0507982733529814,0.0278602420643983
"cond077",0.0495764984988886,0.0267992363287062,0.0237497145467002
"cond069",0.0452803273011737,0.0286894302151773,0.0260333409454213
"cond085",0.0373948027467081,0.0462736042661641,0.0139301210321991
"cond097",0.0369484465388659,0.0564630207119803,0.015528659511304
"cond004",0.0254306544857586,0.027238625839539,0.0347111212605618
"cond005",0.0222581238895705,0.0270670652275861,0.0335693080612012
"cond081",0.0220170634045419,0.0236930890772221,0.0157570221511761
"cond071",0.0211370593553898,0.00567926995232866,0.0109614067138616
"cond013",0.0192195599721151,0.0199626807564905,0.0232929892669559
"cond074",0.018776369338184,0.0161022345204783,0.0146152089518155
"cond017",0.0180171051332488,0.0304578898917753,0.0365380223795387
"cond087",0.0156989912847784,0.0220121139835766,0.0162137474309203
"cond079",0.0149819143739115,0.007115336139982,0.00707924183603562
"cond094",0.0124019617478495,0.0112506302421653,0.00959123087462891
"cond084",0.0115106734378731,0.0116011101359763,0.0141584836720712
"cond099",0.00976086257749023,0.019788605364105,0.0159853847910482
"cond073",0.00877486661568798,0.013224220261864,0.0127883078328385
"cond014",0.00833974238427399,0.0148897772717517,0.0123315825530943
"cond088",0.00799719284759595,0.0155557003525342,0.0150719342315597
"cond019",0.00782918218841645,0.0117496896821529,0.0200959123087463
"cond096",0.0077932367798246,0.0159972298671975,0.00890614295501256
"cond066",0.00752317506856943,0.0114766261744765,0.0125599451929664
"cond082",0.00749669154439029,0.0112584039133863,0.0125599451929664
"cond083",0.00745814165301976,0.00838015934375809,0.0130166704727107
"cond080",0.00722779213799066,0.0161341906028924,0.0141584836720712
"cond016",0.00620708810813782,0.00647472029074415,0.0157570221511761
"cond100",0.00557509234461119,0.0135299293133606,0.0111897693537337
"cond072",0.0055689470337184,0.00472669574986405,0.00981959351450103
"cond070",0.0053669556847323,0.00778869932118779,0.00936286823475679
"cond095",0.00530266474549315,0.00989902246356649,0.00844941767526833
"cond076",0.00426420014202065,0.00479305867896439,0.00753596711577986
"cond003",0.0038171274674606,0.00498728150225481,0.0141584836720712
"cond020",0.00363753581456594,0.00518554396601373,0.0127883078328385
"cond008",0.00361427209988689,0.00637033176234847,0.0171271979904088
"cond092",0.00278453940277562,0.00387965476323085,0.00707924183603562
"cond007",0.00274708342978614,0.00358356236161224,0.0130166704727107
"cond104",0.00267723490551872,0.00369175040855665,0.00593742863667504
"cond091",0.00262389677055417,0.00449620078141971,0.00776432975565198
"cond021",0.00243095287636796,0.00405541321650855,0.00959123087462891
"cond010",0.00229273795785452,0.00296950880404517,0.0100479561543731
"cond101",0.00228060958818916,0.00626985852119011,0.00890614295501256
"cond048",0.00223179136348478,0.00269072602882509,0.013701758392327
"cond090",0.00215990215650893,0.00474248910076918,0.00570906599680292
"cond001",0.00210390187438112,0.00294375370465016,0.0105046814341174
"cond078",0.00199278451860192,0.0034654751107025,0.00616579127654716
"cond103",0.00184437724962143,0.00352502338462512,0.00776432975565198
"cond102",0.00177567937988219,0.00297653880860548,0.00525234071705869
"cond012",0.00170040991093011,0.00238125547603986,0.00936286823475679
"cond022",0.00168468664805421,0.00202708766273379,0.00890614295501256
"cond002",0.00167321137869199,0.00217212988681948,0.00867778031514044
"cond015",0.0016714302993759,0.00225636632412996,0.00662251655629139
"cond011",0.00155226512477247,0.00176132960079842,0.00753596711577986
"cond093",0.00150957836317338,0.00236888637653611,0.00502397807718657
"cond063",0.00148473420107609,0.00257050662280954,0.00867778031514044
"cond058",0.00146636171058694,0.00197116966923463,0.00913450559488468
"cond089",0.00137862697860047,0.0020461509885464,0.00616579127654716
"cond105",0.00136236920249352,0.00279006660090734,0.00570906599680292
"cond023",0.00133357976595796,0.00202127838012927,0.00639415391641927
"cond057",0.00128063048671689,0.00199203206990069,0.00913450559488468
"cond056",0.00113089178422596,0.0015876971708104,0.00799269239552409
"cond054",0.00107189744373835,0.00116282387621851,0.00548070335693081
"cond050",0.00105814884504911,0.0013848844089354,0.00776432975565198
"cond061",0.00104725618677354,0.00134954822419605,0.00707924183603562
"cond064",0.0010340141026424,0.00172034650394574,0.00616579127654716
"cond055",0.000932532135907448,0.00137955978507804,0.00730760447590774
"cond009",0.000922987562585832,0.00122307559208793,0.00570906599680292
"cond060",0.000899472863862331,0.0015134386699844,0.00548070335693081
"cond051",0.000863992085480925,0.00152242202589208,0.00570906599680292
"cond065",0.000862379471792978,0.00107520978930926,0.00502397807718657
"cond062",0.000809476869635877,0.00118696213833554,0.00548070335693081
"cond049",0.000805932726387972,0.00106181348796689,0.00433889015757022
"cond053",0.000757125204829871,0.000852856401053854,0.00479561543731446
"cond059",0.000612494346843453,0.000974817978669151,0.00456725279744234
"cond052",0.000549285202067448,0.000875615985631512,0.0041105275176981
